date_sold,bedrooms,bathrooms,m2_living,m2_total,floors,waterfront,view,condition,grade,m2_above,m2_basement,yr_built,yr_renovated,zipcode,lat,long,m2_living15,m2_total15,price,yr_built_bins,renovated,basement_cat,month,year
03/12/2014,4,3,191.38,618.64,1,False,0,3,3,118.91,72.46,1981,0,98058,47.4276,-122.157,187.66,810.11,322500,1965-1983,True,medium,3,2014
13/06/2014,3,3,213.68,284.28,2,False,0,3,3,140.28,73.39,1930,2002,98115,47.6827,-122.31,147.71,303.23,696000,1900-1947,True,medium,6,2014
28/05/2014,4,1,154.22,3237.46,1,False,0,1,1,86.4,67.82,1933,0,98052,47.6621,-122.132,200.67,1065.31,550000,1900-1947,True,medium,5,2014
30/12/2014,4,2,219.25,557.41,2,False,0,4,3,219.25,,1904,0,98107,47.6702,-122.362,160.72,436.64,640000,1900-1947,True,no_basement,12,2014
13/02/2015,4,1,113.34,750.19,1,False,0,2,3,82.68,30.66,1969,0,98001,47.3341,-122.282,119.84,724.64,240000,1965-1983,True,small,2,2015
20/06/2014,4,3,243.4,701.69,2,False,0,3,3,243.4,,1996,0,98056,47.5301,-122.18,243.4,1104.05,605000,1983-2001,True,no_basement,6,2014
15/07/2014,4,3,238.76,512.82,2,False,0,3,4,238.76,,2000,0,98074,47.6145,-122.027,229.47,526.66,625000,1983-2001,True,no_basement,7,2014
11/08/2014,4,3,392.05,2246.93,1,False,0,3,3,241.55,150.5,1984,0,98166,47.445,-122.347,223.89,2844.39,775000,1983-2001,True,large,11,2014
07/07/2014,5,3,333.98,523.88,2,False,0,3,4,333.98,,2014,0,98053,47.6848,-122.016,336.77,523.88,861990,2001-2015,True,no_basement,7,2014
28/10/2014,3,1,145.86,211.82,2,False,0,3,3,145.86,,1922,0,98119,47.6413,-122.364,146.79,245.26,685000,1900-1947,True,no_basement,10,2014
29/07/2014,3,1,118.91,897.06,1,False,0,4,2,85.47,33.44,1959,0,98058,47.4485,-122.175,124.49,818.28,309000,1947-1965,True,small,7,2014
18/07/2014,3,3,293.57,1263.75,2,False,0,3,3,293.57,,2003,0,98019,47.7443,-121.977,283.35,857.67,488000,2001-2015,True,no_basement,7,2014
25/03/2015,3,1,91.97,792.27,1,False,0,3,2,91.97,,1966,0,98023,47.3066,-122.371,114.08,821.26,210490,1965-1983,True,no_basement,3,2015
16/07/2014,4,3,212.75,1246.38,2,False,0,4,4,212.75,,1981,0,98007,47.6194,-122.151,248.98,1271.37,785000,1965-1983,True,no_basement,7,2014
28/04/2015,3,2,116.13,553.98,1,False,0,4,3,116.13,,1953,0,98115,47.6796,-122.301,90.12,473.8,450000,1947-1965,True,no_basement,4,2015
11/03/2015,3,3,255.76,6039.11,1,True,2,5,4,201.13,54.63,1953,0,98070,47.4041,-122.451,248.98,6736.62,1350000,1947-1965,True,medium,11,2015
16/09/2014,3,1,110.55,854.61,1,False,0,3,3,110.55,,1955,0,98148,47.4258,-122.322,110.55,869.94,228000,1947-1965,True,no_basement,9,2014
17/02/2015,5,3,292.64,848.57,1,False,0,4,3,152.36,140.28,1966,0,98056,47.4934,-122.189,184.88,848.48,345000,1965-1983,True,large,2,2015
31/12/2014,3,2,130.99,379.04,1,False,0,4,3,92.9,38.09,1950,0,98117,47.6808,-122.384,130.99,379.04,600000,1947-1965,False,small,12,2014
05/02/2015,2,2,183.95,794.31,1,False,0,3,3,91.97,91.97,1981,0,98117,47.6989,-122.369,137.5,625.98,585000,1965-1983,True,large,5,2015
03/03/2015,5,3,253.62,557.41,2,False,0,3,3,197.88,55.74,1927,0,98105,47.6571,-122.281,253.62,557.41,920000,1900-1947,False,medium,3,2015
12/05/2014,4,3,262.91,464.51,2,False,0,3,4,262.91,,1995,0,98105,47.6597,-122.29,181.16,464.51,885000,1983-2001,True,no_basement,12,2014
19/08/2014,4,3,209.03,417.6,2,False,0,3,3,209.03,,2008,0,98042,47.3663,-122.114,209.03,418.06,292500,2001-2015,True,no_basement,8,2014
07/04/2015,3,3,224.82,441.29,2,False,0,3,3,224.82,,2003,0,98042,47.3663,-122.122,249.91,441.29,301000,2001-2015,True,no_basement,7,2015
27/08/2014,5,4,301.93,1332.4,2,False,4,4,3,301.93,,1968,0,98008,47.588,-122.116,274.99,1026.01,951000,1965-1983,True,no_basement,8,2014
23/02/2015,4,3,171.87,926.79,2,False,0,3,3,171.87,,1991,0,98059,47.5059,-122.149,210.89,793.57,430000,1983-2001,True,no_basement,2,2015
10/12/2014,3,3,199.74,1972.78,1,False,3,4,3,147.71,52.03,1959,0,98166,47.4336,-122.339,238.76,1755.85,650000,1947-1965,True,medium,10,2014
28/08/2014,3,2,117.06,780.38,1,False,0,3,3,117.06,,1954,0,98148,47.4366,-122.335,119.84,812.89,289000,1947-1965,True,no_basement,8,2014
21/10/2014,3,2,234.02,807.32,2,False,0,5,3,234.02,,1973,0,98166,47.4428,-122.344,232.26,882.57,505000,1965-1983,True,no_basement,10,2014
07/12/2014,3,2,143.07,96.99,3,False,0,3,3,143.07,,2014,0,98115,47.6765,-122.32,146.79,287.07,549000,2001-2015,True,no_basement,7,2014
03/06/2014,3,3,154.22,557.41,1,False,0,3,3,103.12,51.1,1979,0,98122,47.6113,-122.297,133.78,379.04,425000,1965-1983,True,medium,3,2014
20/11/2014,3,3,257.34,353.86,2,False,0,5,3,164.44,92.9,1925,0,98144,47.5747,-122.304,133.78,371.61,317625,1900-1947,True,large,11,2014
09/09/2014,4,3,252.69,1026.48,2,False,0,3,4,252.69,,1989,0,98004,47.5815,-122.192,255.48,1026.48,975000,1983-2001,True,no_basement,9,2014
09/10/2014,4,3,208.1,431.81,2,False,0,3,3,208.1,,2005,0,98001,47.3378,-122.257,206.34,423.36,287000,2001-2015,True,no_basement,9,2014
25/08/2014,3,1,92.9,1121.33,1,False,0,4,3,92.9,,1968,0,98042,47.3621,-122.11,93.83,1173.82,204000,1965-1983,True,no_basement,8,2014
12/06/2014,5,3,297.29,1872.72,1,False,0,3,3,148.64,148.64,1965,0,98004,47.6303,-122.215,314.94,1872.72,1330000,1947-1965,True,large,12,2014
12/09/2014,5,4,443.14,4653.85,1,False,0,4,5,285.21,157.93,1973,0,98005,47.6525,-122.16,327.95,3615.48,1040000,1965-1983,True,large,12,2014
05/01/2015,3,2,117.06,521.37,1,False,0,4,3,117.06,,1972,0,98034,47.7362,-122.179,152.36,440.82,325000,1965-1983,True,no_basement,5,2015
10/06/2014,4,2,255.48,725.29,2,False,0,5,3,209.03,46.45,1916,0,98125,47.7168,-122.287,140.28,725.29,571000,1900-1947,True,small,10,2014
10/07/2014,4,3,221.11,464.51,2,False,0,3,3,221.11,,2005,0,98038,47.3608,-122.036,224.82,464.51,360000,2001-2015,True,no_basement,10,2014
16/03/2015,3,2,166.3,4694.26,1,False,0,5,3,101.26,65.03,1965,0,98042,47.3511,-122.073,180.23,4694.26,349000,1947-1965,True,medium,3,2015
05/11/2014,4,4,318.65,3261.06,2,False,0,4,4,222.04,96.62,1986,0,98075,47.5822,-121.987,301.0,3253.44,832500,1983-2001,True,large,5,2014
13/10/2014,4,2,163.51,678.19,1,False,0,3,3,81.75,81.75,1956,0,98008,47.6034,-122.125,156.08,696.77,380000,1947-1965,True,large,10,2014
20/04/2015,3,1,96.62,470.09,1,False,0,3,3,96.62,,1941,0,98116,47.5636,-122.394,82.68,470.09,480000,1900-1947,True,no_basement,4,2015
09/06/2014,3,1,130.99,470.09,1,False,0,4,3,84.54,46.45,1956,0,98133,47.7073,-122.34,104.98,528.89,410000,1947-1965,True,small,9,2014
23/03/2015,4,3,320.51,3686.64,2,False,0,3,4,320.51,,2002,0,98010,47.342,-122.025,311.22,3692.87,720000,2001-2015,True,no_basement,3,2015
02/12/2014,3,3,218.32,473.8,2,False,0,3,3,218.32,,2003,0,98038,47.3512,-122.008,218.32,498.23,390000,2001-2015,True,no_basement,2,2014
22/12/2014,4,3,176.51,547.1,2,False,0,3,3,176.51,,1992,0,98038,47.349,-122.031,173.73,595.04,360000,1983-2001,True,no_basement,12,2014
28/10/2014,2,1,187.66,624.3,1,False,0,3,3,93.83,93.83,1948,0,98118,47.5474,-122.291,159.79,624.3,355000,1947-1965,True,large,10,2014
28/01/2015,3,2,156.08,809.36,1,False,0,3,3,156.08,,1964,0,98059,47.4811,-122.149,171.87,817.26,356000,1947-1965,True,no_basement,1,2015
02/06/2014,3,1,89.19,616.31,1,False,0,3,2,89.19,,1952,0,98125,47.7264,-122.31,145.86,669.18,315000,1947-1965,True,no_basement,2,2014
14/11/2014,3,2,198.81,334.45,2,False,0,3,4,176.51,22.3,1925,0,98119,47.6337,-122.365,187.66,445.93,940000,1900-1947,True,small,11,2014
03/11/2014,5,3,247.12,780.38,2,False,0,5,3,247.12,,1961,0,98092,47.2909,-122.189,147.71,758.55,305000,1947-1965,True,no_basement,3,2014
18/06/2014,3,4,257.34,583.24,2,False,0,3,4,183.95,73.39,2006,0,98056,47.5228,-122.199,176.51,682.74,461000,2001-2015,True,medium,6,2014
19/05/2014,2,3,149.57,189.52,2,False,0,4,3,149.57,,1979,0,98056,47.518,-122.194,181.16,188.13,215000,1965-1983,True,no_basement,5,2014
04/09/2014,2,2,95.69,99.03,2,False,0,3,3,71.07,24.62,2006,0,98136,47.5394,-122.387,95.69,102.75,335000,2001-2015,True,small,4,2014
22/05/2014,4,3,183.95,687.76,2,False,0,3,3,183.95,,1988,0,98023,47.2897,-122.372,183.95,697.7,243500,1983-2001,True,no_basement,5,2014
11/03/2015,5,3,327.02,590.21,2,False,0,4,4,327.02,,2001,0,98199,47.6506,-122.391,234.11,580.64,1100000,1983-2001,True,no_basement,11,2015
26/02/2015,3,1,111.48,975.47,1,False,0,3,3,111.48,,1962,0,98023,47.322,-122.351,125.42,975.47,153000,1947-1965,True,no_basement,2,2015
25/07/2014,3,2,146.79,464.51,1,False,0,3,3,119.84,26.94,1939,0,98117,47.687,-122.386,145.86,418.06,430000,1900-1947,True,small,7,2014
23/12/2014,3,2,146.79,464.51,1,False,0,3,3,119.84,26.94,1939,0,98117,47.687,-122.386,145.86,418.06,700000,1900-1947,True,small,12,2014
08/09/2014,4,3,306.58,952.25,1,False,0,3,3,222.04,84.54,1946,1991,98040,47.5873,-122.249,181.16,561.59,905000,1900-1947,True,large,8,2014
30/03/2015,3,2,182.09,1456.8,1,False,0,3,3,182.09,,1967,0,98032,47.3576,-122.277,162.58,1450.76,247500,1965-1983,True,no_basement,3,2015
12/09/2014,4,2,107.77,594.57,1,False,0,4,3,107.77,,1975,0,98023,47.3036,-122.378,107.77,594.57,199000,1965-1983,False,no_basement,12,2014
11/07/2014,3,2,168.15,3883.31,1,False,0,5,3,112.41,55.74,1980,0,98038,47.4109,-121.958,153.29,12545.15,314000,1965-1983,True,medium,11,2014
16/05/2014,3,3,215.53,3423.17,2,False,2,3,4,215.53,,1992,0,98045,47.4838,-121.714,236.9,3257.62,437500,1983-2001,True,no_basement,5,2014
11/06/2014,3,3,192.31,1230.12,2,False,0,5,4,117.99,74.32,1910,0,98102,47.6415,-122.315,204.38,418.06,850830,1900-1947,True,medium,11,2014
27/10/2014,3,2,183.95,323.11,2,False,0,4,3,133.78,50.17,1929,0,98117,47.6775,-122.372,149.57,323.11,555000,1900-1947,True,medium,10,2014
12/12/2014,3,3,203.46,9995.63,2,False,0,4,3,203.46,,1983,0,98077,47.7731,-122.08,238.76,4438.59,699950,1965-1983,True,no_basement,12,2014
07/10/2014,3,3,271.27,753.72,2,False,0,3,3,271.27,,1950,2010,98004,47.5814,-122.196,220.18,753.72,1090000,1947-1965,True,no_basement,7,2014
24/09/2014,3,1,112.41,3151.15,1,False,0,3,3,112.41,,1954,0,98058,47.4375,-122.184,152.36,1385.17,290000,1947-1965,True,no_basement,9,2014
02/04/2015,3,3,217.39,929.49,1,False,0,4,3,135.64,81.75,1978,0,98058,47.4431,-122.133,209.03,758.27,375000,1965-1983,True,large,2,2015
23/05/2014,3,1,155.15,372.07,2,False,0,4,3,108.7,46.45,1939,0,98117,47.6878,-122.38,115.2,372.07,460000,1900-1947,True,small,5,2014
23/07/2014,2,2,115.2,231.61,1,False,0,4,3,115.2,,1985,0,98198,47.3813,-122.322,117.99,461.35,188500,1983-2001,True,no_basement,7,2014
05/03/2015,4,3,291.71,2604.7,2,False,0,4,4,291.71,,1991,0,98077,47.7304,-122.082,277.78,3251.67,680000,1983-2001,True,no_basement,5,2015
27/08/2014,5,2,188.59,1146.6,2,False,0,4,3,188.59,,1942,0,98052,47.6417,-122.109,232.26,876.35,470000,1900-1947,True,no_basement,8,2014
25/07/2014,4,3,214.6,894.09,2,False,0,3,3,214.6,,1984,0,98027,47.5386,-122.053,180.23,895.21,597750,1983-2001,True,no_basement,7,2014
04/03/2015,3,2,117.06,309.18,1,False,0,5,2,65.03,52.03,1905,0,98103,47.6823,-122.349,128.21,328.5,570000,1900-1947,True,medium,4,2015
16/09/2014,3,2,143.07,1170.57,1,False,0,4,3,107.77,35.3,1980,0,98038,47.3624,-122.031,143.07,1082.87,272500,1965-1983,True,small,9,2014
24/11/2014,3,2,193.24,554.53,1,False,2,3,3,100.33,92.9,1971,0,98108,47.5474,-122.295,194.17,510.96,329950,1965-1983,True,large,11,2014
28/10/2014,4,3,300.07,1502.32,2,False,3,3,4,234.11,65.96,2001,0,98001,47.3183,-122.253,245.26,791.25,480000,1983-2001,True,medium,10,2014
21/11/2014,3,4,406.91,589.93,2,False,0,3,3,258.27,148.64,1900,1999,98117,47.6981,-122.368,170.01,589.93,740500,1900-1947,True,large,11,2014
26/06/2014,3,4,147.71,102.38,3,False,0,3,3,147.71,,2010,0,98103,47.6824,-122.347,150.5,294.13,518500,2001-2015,True,no_basement,6,2014
23/06/2014,2,1,81.75,629.88,1,False,0,4,2,81.75,,1945,0,98178,47.5009,-122.248,110.55,629.88,205425,1900-1947,True,no_basement,6,2014
08/01/2015,4,2,145.86,891.86,1,False,0,3,2,145.86,,1950,0,98168,47.4965,-122.303,174.66,836.12,171800,1947-1965,True,no_basement,8,2015
11/05/2015,4,1,149.57,277.03,2,False,0,4,3,149.57,,1925,0,98144,47.587,-122.294,149.57,375.33,535000,1900-1947,True,no_basement,11,2015
02/01/2015,3,3,222.97,601.45,1,False,2,3,3,144.93,78.04,1964,0,98177,47.7728,-122.386,217.39,1008.55,660000,1947-1965,True,medium,2,2015
19/11/2014,3,2,134.71,848.38,1,False,0,3,3,134.71,,1987,0,98034,47.7288,-122.226,146.79,845.78,391500,1983-2001,True,no_basement,11,2014
06/04/2015,2,1,71.53,557.41,1,False,0,3,2,71.53,,1953,0,98117,47.6999,-122.364,158.86,557.41,395000,1947-1965,True,no_basement,6,2015
04/11/2014,4,2,195.09,408.77,2,False,0,5,3,159.79,35.3,1924,0,98118,47.5299,-122.266,171.87,408.77,445000,1900-1947,True,small,4,2014
18/06/2014,3,3,270.35,947.97,2,False,0,3,4,270.35,,1990,0,98052,47.6897,-122.098,250.84,1299.89,770000,1983-2001,True,no_basement,6,2014
02/03/2015,4,3,255.48,1652.64,2,False,0,3,3,183.95,71.53,1914,1992,98004,47.6141,-122.212,284.28,1047.47,1450000,1900-1947,True,medium,2,2015
17/07/2014,3,3,195.09,761.89,1,False,2,3,3,150.5,44.59,1967,0,98178,47.5091,-122.244,247.12,809.36,445000,1965-1983,True,small,7,2014
17/07/2014,4,3,200.67,818.56,1,False,0,3,3,126.35,74.32,1978,0,98023,47.3129,-122.39,194.17,780.38,260000,1965-1983,True,medium,7,2014
13/06/2014,5,4,215.53,460.8,2,False,0,5,3,159.79,55.74,1926,0,98103,47.6763,-122.352,157.93,460.8,822500,1900-1947,True,medium,6,2014
06/04/2015,4,3,192.31,400.41,2,False,0,3,3,192.31,,2004,0,98065,47.5319,-121.85,183.02,348.2,430000,2001-2015,True,no_basement,6,2015
05/01/2015,3,2,98.48,731.61,1,False,0,4,3,98.48,,1986,0,98092,47.2761,-122.152,131.92,713.49,212000,1983-2001,True,no_basement,5,2015
28/04/2015,4,3,186.73,892.14,1,False,0,3,3,133.78,52.95,1986,0,98027,47.5343,-122.054,191.38,909.79,660500,1983-2001,True,medium,4,2015
12/06/2014,3,4,366.96,10319.4,2,False,0,3,4,228.54,138.42,1989,0,98052,47.697,-122.072,230.4,8221.85,784000,1983-2001,True,large,12,2014
12/05/2014,3,3,186.73,212.47,2,False,0,3,3,129.13,57.6,2014,0,98029,47.5517,-121.998,157.0,154.4,453246,2001-2015,True,medium,12,2014
26/01/2015,4,4,198.81,211.63,3,False,0,3,4,198.81,,2005,0,98107,47.6734,-122.38,143.07,212.28,675000,2001-2015,True,no_basement,1,2015
13/08/2014,3,2,122.63,1615.57,1,False,0,4,3,122.63,,1956,0,98003,47.3257,-122.296,144.0,1789.76,199000,1947-1965,True,no_basement,8,2014
05/08/2014,4,2,187.66,728.35,1,False,0,3,3,93.83,93.83,1968,0,98003,47.3309,-122.299,162.58,756.22,220000,1965-1983,True,large,5,2014
29/05/2014,4,3,240.62,929.21,1,False,0,4,3,124.49,116.13,1968,0,98028,47.7689,-122.266,144.0,969.53,452000,1965-1983,True,large,5,2014
07/07/2014,2,1,110.55,412.49,1,False,0,3,2,110.55,,1981,0,98125,47.7135,-122.287,98.48,530.94,382500,1965-1983,True,no_basement,7,2014
07/05/2014,3,3,108.7,116.03,3,False,0,3,3,108.7,,2014,0,98107,47.6722,-122.381,125.42,121.7,519950,2001-2015,True,no_basement,7,2014
27/06/2014,2,1,103.12,297.29,1,False,0,3,3,103.12,,1925,0,98119,47.6338,-122.358,108.7,334.45,665000,1900-1947,True,no_basement,6,2014
08/07/2014,5,3,261.98,870.96,1,False,0,4,3,144.0,117.99,1968,0,98006,47.5707,-122.128,261.98,870.96,527700,1965-1983,False,large,8,2014
08/05/2015,3,1,149.57,797.01,1,False,0,4,3,93.83,55.74,1962,0,98058,47.4563,-122.171,149.57,797.01,205000,1947-1965,False,medium,8,2015
15/04/2015,3,1,98.48,752.23,1,False,0,4,3,87.33,11.15,1923,0,98133,47.7144,-122.351,144.93,737.64,420000,1900-1947,True,small,4,2015
27/02/2015,4,3,188.59,791.25,1,False,0,4,3,128.21,60.39,1961,0,98006,47.5495,-122.174,207.17,819.77,500000,1947-1965,True,medium,2,2015
03/12/2014,4,3,340.95,29298.96,2,False,0,4,4,340.95,,1994,0,98077,47.7421,-122.026,263.84,8174.56,921500,1983-2001,True,no_basement,3,2014
25/06/2014,4,1,236.9,371.61,2,False,0,3,3,220.18,16.72,1905,0,98109,47.6354,-122.353,204.38,371.61,890000,1900-1947,True,small,6,2014
06/08/2014,2,3,224.82,5665.55,2,False,0,3,3,224.82,,2007,0,98027,47.5262,-121.943,180.23,18008.36,430000,2001-2015,True,no_basement,6,2014
30/10/2014,5,2,209.96,1161.28,1,False,0,4,3,104.98,104.98,1960,0,98032,47.3887,-122.286,126.35,1672.24,258000,1947-1965,True,large,10,2014
04/11/2014,3,1,132.85,320.98,1,False,0,3,3,91.04,41.81,1947,0,98103,47.6873,-122.336,134.71,427.26,511000,1900-1947,True,small,4,2014
20/08/2014,3,2,126.35,287.07,2,False,0,3,3,126.35,,1990,0,98103,47.6838,-122.353,139.35,287.07,532170,1983-2001,True,no_basement,8,2014
09/04/2015,3,1,103.12,464.51,2,False,0,3,3,103.12,,1947,0,98107,47.655,-122.359,131.92,464.51,560000,1900-1947,True,no_basement,9,2015
31/03/2015,3,1,116.13,761.8,1,False,0,4,3,116.13,,1954,0,98003,47.3255,-122.304,156.08,802.03,282950,1947-1965,True,no_basement,3,2015
01/04/2015,4,4,481.23,1844.11,2,False,3,3,5,328.87,152.36,2006,0,98006,47.562,-122.162,293.57,905.8,2250000,2001-2015,True,large,1,2015
16/05/2014,1,1,65.03,473.8,1,False,0,3,3,65.03,,1942,0,98115,47.679,-122.3,93.83,473.8,350000,1900-1947,True,no_basement,5,2014
28/07/2014,3,1,109.62,712.47,1,False,0,4,3,109.62,,1967,0,98058,47.4479,-122.176,110.55,712.47,215000,1965-1983,True,no_basement,7,2014
20/11/2014,5,4,367.89,2345.32,2,False,0,3,4,232.26,135.64,1996,0,98056,47.525,-122.172,245.26,1270.44,650000,1983-2001,True,large,11,2014
07/08/2014,4,3,245.26,696.77,1,False,0,3,3,150.5,94.76,1967,0,98023,47.3135,-122.369,183.95,731.61,320000,1965-1983,True,large,7,2014
13/11/2014,3,2,117.99,668.71,2,False,0,3,3,117.99,,1916,2013,98022,47.2086,-121.996,107.77,668.71,247000,1900-1947,True,no_basement,11,2014
03/10/2014,4,2,163.51,1038.65,1,False,0,4,3,163.51,,1968,0,98059,47.4715,-122.118,160.72,1038.65,320000,1965-1983,True,no_basement,3,2014
07/05/2014,5,3,191.38,801.93,1,False,0,3,3,95.69,95.69,1962,0,98146,47.4877,-122.335,93.83,1085.1,255000,1947-1965,True,large,7,2014
09/03/2015,3,2,165.37,897.44,1,False,0,3,3,165.37,,1962,0,98034,47.7171,-122.193,111.48,897.44,438000,1947-1965,True,no_basement,9,2015
04/03/2015,3,3,315.87,1542.46,2,False,0,3,4,315.87,,2000,0,98075,47.6012,-122.023,315.87,1170.66,900000,1983-2001,True,no_basement,4,2015
20/06/2014,3,3,177.44,676.33,1,False,0,3,3,107.77,69.68,1979,0,98034,47.7319,-122.224,158.86,757.34,441000,1965-1983,True,medium,6,2014
12/08/2014,3,2,187.66,3561.13,1,False,0,4,3,93.83,93.83,1975,0,98027,47.4582,-122.023,196.02,3399.29,420000,1965-1983,True,large,12,2014
08/12/2014,3,2,146.79,650.32,1,False,0,3,3,109.62,37.16,1976,0,98034,47.7209,-122.168,152.36,696.77,370000,1965-1983,True,small,8,2014
19/02/2015,2,2,124.49,673.54,1,False,0,5,1,65.03,59.46,1949,0,98198,47.408,-122.327,170.01,905.8,269950,1947-1965,True,medium,2,2015
24/03/2015,4,3,248.98,417.97,2,False,0,3,4,248.98,,1999,0,98006,47.565,-122.125,271.27,418.06,807100,1983-2001,True,no_basement,3,2015
